Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age
72,NCT04453748,"The Assessment of the Prevalence, Clinical Course and Treatment of COVID-19 Complications",,Enrolling by invitation,No Results Available,COVID-19|Coronavirus Infection|Sars-CoV2|Complications,Other: Complex diagnostic panel,Prevalence of COVID-19 complications|Assessment of risk factors of COVID-19 complications,Silesian Centre for Heart Diseases|Medical Research Agency - Agencja Badań Medycznych|Medical University of Silesia,All,"18 Years to 120 Years   (Adult, Older Adult)"
73,NCT04811391,COVID-19 Vaccine Effectiveness in Albanian Health Workers,COVEAL,Recruiting,No Results Available,Covid19,Biological: COVID-19 vaccine,COVID-19 vaccine effectiveness|COVID-19 PCR confirmation|Vaccine effectiveness by age|Vaccine effectiveness by co-morbidities,"Institute of Public Health, Albania|World Health Organization|Centers for Disease Control and Prevention|Southeast Europe Center for Infectious Diseases Surveillance and Control|EPICONCEPT",All,"16 Years and older   (Child, Adult, Older Adult)"
74,NCT04381871,Potential Role of Gum Arabic as Immunomodulatory Agent Among COVID 19 Patients,GA&COVID19,Not yet recruiting,No Results Available,COVID 19,Dietary Supplement: Acacia Senegal|Dietary Supplement: Pectin,Mean change from baseline score of Immune Response to end of the trial ( Time Frame: up to 4 weeks )|Mortality rate|Determine viral load in each patient,Al-Neelain University|University of Khartoum,All,"5 Years to 90 Years   (Child, Adult, Older Adult)"
75,NCT04323787,Viral Infection and Respiratory Illness Universal Study[VIRUS]: COVID-19 Registry,COVID-19,Recruiting,No Results Available,Coronavirus,Other: observational,ICU and hospital mortality of COVID-19 patients|30 days mortality,Mayo Clinic|Society of Critical Care Medicine|Boston University,All,"Child, Adult, Older Adult"
76,NCT04510207,"A Study to Evaluate The Efficacy, Safety and Immunogenicity of Inactivated SARS-CoV-2 Vaccines (Vero Cell) in Healthy Population Aged 18 Years Old and Above",COVID-19,Recruiting,No Results Available,COVID-19,Biological: Inactivated SARS-CoV-2 Vaccine (Vero cell)|Biological: Placebo,The incidence of COVID-19 cases after two-doses of vaccination|The incidence of severe cases of SARS-CoV-2 pneumonia and deaths accompanied by COVID-19 after two-doses of vaccination|The incidence of any adverse reactions/events|The incidence of serious adverse events (SAE)|The Geometric Mean Titer (GMT) of anti-SARS-CoV-2 neutralizing antibody|The four-fold increase rate of anti-SARS-CoV-2 neutralizing antibody|The Geometric Mean Fold Rise (GMFR) of anti-SARS-CoV-2 neutralizing antibody|The 4-fold increase rate of anti-SARS-CoV-2 neutralizing antibody,"China National Biotec Group Company Limited|G42 Healthcare company|Abu Dhabi Health Services Company|Wuhan Institute of Biological Products Co., Ltd|Beijing Institute of Biological Products Co Ltd.",All,"18 Years and older   (Adult, Older Adult)"
77,NCT04760990,A Study to Assess the Potential Impact of Disease Modifying Therapies on COVID-19 Outcomes and the Antibody Response Following an Infection With SARS-CoV-2 in Patients With Multiple Sclerosis Within the Swiss Multiple Sclerosis Cohort.,MS COVID-19,Recruiting,No Results Available,Multiple Sclerosis|COVID-19 (Severe Coronavirus Disease 2019),Other: data collection|Other: analysis of blood samples,Incidence of severe COVID-19 as defined by the WHO clinical progression scale (Score 6-9)|COVID-19 related death defined by the WHO clinical progression scale (Score 10)|Proportion of patients with Anti-SARS-CoV-2 seroconversion|Change in mean titers of IgM- and IgG-antibodies against SARS-CoV-2|Change in individual titers of IgM- and IgG-antibodies against SARS-CoV-2|Proportion of total confirmed SARS-CoV-2-infections (independent of WHO clinical progression scale Score).,"University Hospital, Basel, Switzerland|Swiss Multiple Sclerosis Society",All,"18 Years and older   (Adult, Older Adult)"
78,NCT04387929,Detection of Anti-COVID-19 Antibody Levels in an Hospital Population,,Recruiting,No Results Available,COVID-19,Diagnostic Test: Detection of anti-COVID-19 antibody level,SARS-CoV-2 levels of IgG antibodies|SARS-CoV-2 viral load in nasopharyngeal swab of IgG positive subjects|Epidemiology correlations,Istituto Clinico Humanitas,All,"18 Years to 90 Years   (Adult, Older Adult)"
79,NCT04330261,Clinical Characteristics and Outcomes of Pediatric COVID-19,PERN-COVID-19,Recruiting,No Results Available,"COVID-19|SARS-CoV-2 Infection|Pediatric ALL|Pneumonia, Viral|Pandemic Response",Other: Exposure (not intervention) - SARS-CoV-2 infection,Clinical characteristics of children with SARS-CoV-2|Factors associated with severe COVID-19 outcomes|Health care resource utilization for COVID-19 patient management|Sensitivity and specificity of COVID-19 case screening policies,University of Calgary,All,"up to 18 Years   (Child, Adult)"
80,NCT04529460,Healthy Volunteer COVID-19 Antibody Testing Study,,Not yet recruiting,No Results Available,Covid19,Diagnostic Test: COVID-19 antibody point of care test kit,Sensitivity and specificity of the COVID-19 antibody testing kit,Royal Free Hospital NHS Foundation Trust,All,"18 Years and older   (Adult, Older Adult)"
81,NCT04392323,Incidence of COVID-19 Test Conversion in Post-surgical Patients,,Recruiting,No Results Available,Sars-CoV2,Diagnostic Test: COVID-19 PCR and Serology,COVID-19 Test Conversion|Duration of Hospitalization|Rate of self-reported COVID-19 exposure|Rate of complications from COVID-19,Northwell Health,All,"18 Years and older   (Adult, Older Adult)"
82,NCT04565522,Transmission of COVID-19 Virus Among Patients and Staff in Dialysis Centers,DIAL-COVID-19,Not yet recruiting,No Results Available,Covid19|Dialysis|Nurse-Patient Relations,Other: Prospective observation,"incident risk of COVID-19 infection|Evaluate the morbidity of COVID-19|Evaluate the mortality of COVID-19|Estimate the predictive role of comorbidities, inflammation indexes and therapy on the hospitalisation rate|Estimate the predictive role of comorbidities, inflammation indexes and therapy on the mortality rate|Evaluate the infective role of dialysis staff towards patients|Evaluate the infective role of patients towards dialysis staff","Simeone Andrulli, MD|A. Manzoni Hospital",All,"18 Years and older   (Adult, Older Adult)"
83,NCT04799392,NOWDx Test for the Detection of Antibodies to COVID-19 in Lay Persons,,Recruiting,No Results Available,COVID-19|SARS-CoV-2|Coronavirus,Device: NOWDx COVID-19 Test,Percentage of clinical agreement between NOWDx COVID-19 Test and emergency use authorized or FDA cleared comparator|Positivity rate of NOWDx COVID-19 Tests in vaccinated persons,"NOWDiagnostics, Inc.",All,"2 Years and older   (Child, Adult, Older Adult)"
84,NCT04816318,Policy Responses Against the COVID-19 Pandemic in Latin America,,Not yet recruiting,No Results Available,Covid19|Infectious Disease|Death|SARS-CoV Infection,Other: Social and public health measures against COVID-19|Other: Control,7-day moving average of daily confirmed cases of COVID-19/SARS-CoV-2|Time-varying reproductive number of confirmed cases of COVID-19/SARS-CoV-2|7-day moving average of daily confirmed deaths of COVID-19/SARS-CoV-2,University of Chile,All,"Child, Adult, Older Adult"
85,NCT04690413,NOWDx Test for the Detection of Antibodies to COVID-19,,Completed,No Results Available,COVID-19|SARS-CoV-2|Coronavirus,Device: NOWDx COVID-19 Test,Percentage of clinical agreement between NOWDx COVID-19 Test and emergency use authorized or FDA cleared comparator.,"NOWDiagnostics, Inc.",All,"18 Years and older   (Adult, Older Adult)"
86,NCT04349202,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,BLAST COVID-19,Recruiting,No Results Available,COVID-19|Coronavirus Infection|Severe Acute Respiratory Syndrome Coronavirus 2,Diagnostic Test: EUROIMMUN assay,Prevalence COVID antibodies in employees of Beaumont Health|COVID-19 re-infection in participants positive for antibodies to SARS-CoV-2|Correlation of dried blood spot and standard blood sampling positive for COVID-19 IgG antibodies|Correlation of dried blood spot and standard blood sampling negative for COVID-19 IgG antibodies|Correlation of dried blood spot and standard blood sampling positive for COVID-19 IgA antibodies|Correlation of dried blood spot and standard blood sampling negative for COVID-19 IgA antibodies|Reproducibility of SARS-CoV-2 IgG antibody detection from dried blood spots|Stability of dried blood spots for SARS-CoV-2 IgG antibody detection|Effect of shipping on dried blood spot samples for SARS-CoV-2 IgG antibody detection|Accuracy of participant-performed blood spot collection for SARS-CoV-2 IgG antibody detection|Ease of participant-performed blood spot collection|Correlation of SARS-CoV-2 antibodies between immediate family members,William Beaumont Hospitals,All,"18 Years and older   (Adult, Older Adult)"
87,NCT04474496,Impact of COVID-19 on Marshallese Communities in the U.S.,,Completed,Has Results,COVID-19,Other: Assessing the impact of COVID-19,Personal Preventative Behaviors to Decrease Risk of COVID-19 Exposure|Workplace Preventative Actions to Decrease Risk of COVID-19 Exposure|Effects of COVID-19 on General Health Status|Effects of COVID-19 on Access to Healthcare Services|Effects of COVID-19 on Dietary Habits|Effects of COVID-19 on Physical Activity Behaviors (Not Specifically for Exercise)|Effects of COVID-19 on Physical Activity Behaviors (Specifically for Exercise)|Effects of COVID-19 on Weight|Effects of COVID-19 on HbA1c (Glycated Hemoglobin)|Barriers to Type 2 Diabetes Management Due to COVID-19|COVID-19 Screening|COVID-19 Testing|COVID-19 Vaccine Willingness/Hesitancy|Trusted Sources of COVID-19 Information|Effects of COVID-19 on Housing|Effects of COVID-19 on Employment|Effects of COVID-19 on Income|Sources of Stress During COVID-19,University of Arkansas|Patient-Centered Outcomes Research Institute,All,"18 Years and older   (Adult, Older Adult)"
88,NCT04466657,Antioxidant Therapy for COVID-19 Study,GSHSOD-COVID,Not yet recruiting,No Results Available,Covid-19,Dietary Supplement: Antioxidation Therapy|Other: Standard of Care,Time to clinical improvement|Time to SARS-CoV-2 negativity|Clinical status on day 14|Proportion of participants with SARS-CoV-2 PCR negative result at Day 7|Proportion of participants with SARS-CoV-2 PCR negative result at Day 28|28 Day mortality|Duration of hospitalization in survivors|Time from treatment initiation to death,Obafemi Awolowo University|Borno State Ministry of Health|Ogun State Ministry of Health|Abia State Ministry of Health|Sokoto State Ministry of Health|Benue State Minsitry of Health|University of Calabar Teaching Hospital,All,"18 Years to 75 Years   (Adult, Older Adult)"
86,NCT04349202,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,BLAST COVID-19,Recruiting,No Results Available,COVID-19|Coronavirus Infection|Severe Acute Respiratory Syndrome Coronavirus 2,Diagnostic Test: EUROIMMUN assay,Prevalence COVID antibodies in employees of Beaumont Health|COVID-19 re-infection in participants positive for antibodies to SARS-CoV-2|Correlation of dried blood spot and standard blood sampling positive for COVID-19 IgG antibodies|Correlation of dried blood spot and standard blood sampling negative for COVID-19 IgG antibodies|Correlation of dried blood spot and standard blood sampling positive for COVID-19 IgA antibodies|Correlation of dried blood spot and standard blood sampling negative for COVID-19 IgA antibodies|Reproducibility of SARS-CoV-2 IgG antibody detection from dried blood spots|Stability of dried blood spots for SARS-CoV-2 IgG antibody detection|Effect of shipping on dried blood spot samples for SARS-CoV-2 IgG antibody detection|Accuracy of participant-performed blood spot collection for SARS-CoV-2 IgG antibody detection|Ease of participant-performed blood spot collection|Correlation of SARS-CoV-2 antibodies between immediate family members,William Beaumont Hospitals,All,"18 Years and older   (Adult, Older Adult)"
87,NCT04474496,Impact of COVID-19 on Marshallese Communities in the U.S.,,Completed,Has Results,COVID-19,Other: Assessing the impact of COVID-19,Personal Preventative Behaviors to Decrease Risk of COVID-19 Exposure|Workplace Preventative Actions to Decrease Risk of COVID-19 Exposure|Effects of COVID-19 on General Health Status|Effects of COVID-19 on Access to Healthcare Services|Effects of COVID-19 on Dietary Habits|Effects of COVID-19 on Physical Activity Behaviors (Not Specifically for Exercise)|Effects of COVID-19 on Physical Activity Behaviors (Specifically for Exercise)|Effects of COVID-19 on Weight|Effects of COVID-19 on HbA1c (Glycated Hemoglobin)|Barriers to Type 2 Diabetes Management Due to COVID-19|COVID-19 Screening|COVID-19 Testing|COVID-19 Vaccine Willingness/Hesitancy|Trusted Sources of COVID-19 Information|Effects of COVID-19 on Housing|Effects of COVID-19 on Employment|Effects of COVID-19 on Income|Sources of Stress During COVID-19,University of Arkansas|Patient-Centered Outcomes Research Institute,All,"18 Years and older   (Adult, Older Adult)"
88,NCT04466657,Antioxidant Therapy for COVID-19 Study,GSHSOD-COVID,Not yet recruiting,No Results Available,Covid-19,Dietary Supplement: Antioxidation Therapy|Other: Standard of Care,Time to clinical improvement|Time to SARS-CoV-2 negativity|Clinical status on day 14|Proportion of participants with SARS-CoV-2 PCR negative result at Day 7|Proportion of participants with SARS-CoV-2 PCR negative result at Day 28|28 Day mortality|Duration of hospitalization in survivors|Time from treatment initiation to death,Obafemi Awolowo University|Borno State Ministry of Health|Ogun State Ministry of Health|Abia State Ministry of Health|Sokoto State Ministry of Health|Benue State Minsitry of Health|University of Calabar Teaching Hospital,All,"18 Years to 75 Years   (Adult, Older Adult)"
89,NCT04427358,RT-PCR SARS-CoV-2 at 1 Month of COVID-19 Infection in the Geriatric Population,COVID-19GAOM,Completed,No Results Available,Covid-19,,"1. Analysis of the rate of RT-PCR SARS-CoV-2 positive at 1 month of COVID infection|2. Assess quantitative evaluation of a nasopharyngeal swab SARS-CoV-2 RT-PCR test|Assessment of late stool SARS-CoV-2 RT-PCR, serological status and associated factors with death and RT-PCR results 1 month after the date of first symptom onset","University Hospital, Strasbourg, France",All,70 Years and older   (Older Adult)
90,NCT04811664,A Study of SARS CoV-2 Infection and Potential Transmission in University Students Immunized With Moderna COVID-19 Vaccine,CoVPN 3006,Recruiting,No Results Available,SARS-CoV-2 Infection,Biological: Moderna COVID-19 Vaccine,"Efficacy of Moderna COVID-19 Vaccine against SARS-CoV-2 infection|Effect of Moderna COVID-19 Vaccine on peak nasal viral load|Impact of Moderna COVID-19 Vaccine on secondary transmission of SARS-CoV-2 infection|Efficacy of Moderna COVID-19 Vaccine to prevent serologically confirmed SARS-CoV-2 infection|Efficacy of Moderna COVID-19 Vaccine against COVID-19 disease confirmed by PCR test and symptoms|Effect of Moderna COVID-19 Vaccine on magnitude of viral load over time|Efficacy of Moderna vaccine regardless of baseline serostatus (SARS-CoV-2 infection by PCR)|Effect of Moderna vaccine on viral load regardless of baseline serostatus (Viral load)|Effect of Moderna vaccine on secondary status regardless of baseline serostatus (Secondary transmission events)|Immunogenicity of Moderna COVID-19 vaccine|Immune responses as correlates of risk of SARS-CoV-2 acquisition, viral load, secondary infection, and COVID-19 disease|Efficacy of Moderna COVID-19 vaccine against asymptomatic SARS-CoV-2 infection|Efficacy of Moderna COVID-19 Vaccine against SARS-CoV-2 infection and COVID-19 disease|Effect of Moderna COVID-19 Vaccine on viral load|Effect of Moderna COVID-19 Vaccine on secondary transmission",National Institute of Allergy and Infectious Diseases (NIAID),All,18 Years to 26 Years   (Adult)
91,NCT04664023,"Description of Immunologic, Enzymatic and Metabolic Biomarkers Associated to the Severity of COVID-19 (SARS-CoV-2) and Its Resolution",BIOMARK-COVID,Recruiting,No Results Available,Covid19,"Procedure: Blood collection at Day 8, Day 16, Day 24, Month 6 and Month 12 after first symptoms from SARS-CoV-2 infection",Neutralizing antibodies|T CD8 lymphocytes|Inflammatory markers|Metabolic markers,Poitiers University Hospital,All,"18 Years and older   (Adult, Older Adult)"
91,NCT04664023,"Description of Immunologic, Enzymatic and Metabolic Biomarkers Associated to the Severity of COVID-19 (SARS-CoV-2) and Its Resolution",BIOMARK-COVID,Recruiting,No Results Available,Covid19,"Procedure: Blood collection at Day 8, Day 16, Day 24, Month 6 and Month 12 after first symptoms from SARS-CoV-2 infection",Neutralizing antibodies|T CD8 lymphocytes|Inflammatory markers|Metabolic markers,Poitiers University Hospital,All,"18 Years and older   (Adult, Older Adult)"
92,NCT04404062,Validation of COVID-19 Tests,,"Active, not recruiting",No Results Available,COVID-19,Diagnostic Test: Covid-19 Rapid Test Kit (RAPG-COV-019)|Diagnostic Test: Quantitative IgG Test,Identification of asymptomatic carriers of SARS-CoV-2|Validation of the ability of the immunoassay kit to detect antibodies to SARS-CoV-2|Development of a quantitative laboratory reference test for the measurement of SARS-CoV-2|Exploration of SARS-CoV-2 epidemiology,Richmond Pharmacology Limited,All,"18 Years to 70 Years   (Adult, Older Adult)"
93,NCT04376996,Slovenian National COVID-19 Prevalence Study,SLO-COVID-19,Recruiting,No Results Available,COVID-19|SARS-CoV-2,Diagnostic Test: NO intervention planned due to the observational study design - only a diagnostic testing,Prevalence of SARS-CoV-2 RNA in nasopharyngeal samples|Prevalence of anti-SARS-CoV-2 antibodies in blood samples,University of Ljubljana,All,"Child, Adult, Older Adult"
94,NCT04370288,Clinical Application of Methylene Blue for Treatment of Covid-19 Patients,Covid-19,Recruiting,No Results Available,Covid-19,"Drug: MCN (Methylene blue, vitamin C, N-acetyl cysteine)",Proportion of patients remaining free of need for mechanical ventilation in both groups|Mortality rate in both groups|Improvement in Pa02/Fi02 ratio in both groups|Duration of hospital stay in both group.|Duration of Intensive Care Unit stay in both groups|Days free of dialysis in both groups|C-reactive proteins|WBC Count,Mashhad University of Medical Sciences,All,"18 Years to 90 Years   (Adult, Older Adult)"
95,NCT04706403,Views on COVID-19 and Vaccination,,"Active, not recruiting",No Results Available,Covid19,Behavioral: Healthcare Providers' Communication about the COVID-19 Vaccine,Intent to be vaccinated against COVID-19.|Predictors of intent to be vaccinated against COVID-19.,"University of Massachusetts, Worcester",All,"18 Years and older   (Adult, Older Adult)"
96,NCT04393402,Lung Ultrasound Score in Covid 19 Infectious Disease in Critical Care (LUS-COVID19),LUS-COVID19,Recruiting,No Results Available,COVID,Procedure: lung ultrasound (LUS),LUS applicability with COVID 19|Radiographic correlation (chest Xray and tomodensitometry)|LUS Mortality prediction|Prediction of Prone position response,Centre Hospitalier Universitaire de Nice,All,"18 Years to 95 Years   (Adult, Older Adult)"
97,NCT04548908,Prevalence Of COVID-19 Among Health-workers in a French General Hospital,POCAH-COVID,Recruiting,No Results Available,Covid19,"Diagnostic Test: Serelogy testing, RT PCR",General prevalence of COVID-19|Number of asymptomatic healthcare workers|Number of symptomatic healthcare workers|Number of healthcare workers with a severe form of COVID-19 which led to an hospitalization|Number of healthcare workers infected with COVID-19 and hospitalized in a critical care unit|Influencing factors of the prevalence of the COVID-19 among healthcare workers,Centre Hospitalier Sud Essonne,All,"18 Years and older   (Adult, Older Adult)"
98,NCT04582331,Improving Real-time COVID-19 Monitoring Through Smartphone Voice Analysis,,Recruiting,No Results Available,Covid19,Other: Smartphone-based voice and self-reported symptom collection,Vocal biomarker performance in COVID-19 positive vs. healthy controls|Vocal biomarker vs. symptom burden correlation in COVID-19 positive|Vocal biomarker performance in COVID-19 positive vs. COVID-19 negative symptomatic,Sonde Health,All,"12 Years and older   (Child, Adult, Older Adult)"
100,NCT04379284,Risks of COVID19 in the Pregnant Population,,Recruiting,No Results Available,COVID19,Other: Biospecimen collection,Determine the prevalence of maternal fetal transmission of COVID19|Describe the outcomes of COVID19 positive pregnancies|Understand the placental impact of COVID19 in pregnancy at various gestational ages,Mayo Clinic,Female,18 Years to 45 Years   (Adult)
99,NCT04352764,ANTIBODY BASED TESTS FOR SARSCoV-2 COVID-19) - Evaluation of Patients and Healthcare Providers in the Confines of Healthcare Settings,,Recruiting,No Results Available,Covid19,Diagnostic Test: CoronaCideTM COVID-19 IgM/IgG Rapid Test and Premier Biotech COVID-19 IgM/IgG Rapid Test,prevalence of COVID-19 exposure|correlation between the test results with the presence or lack of COVID-19 symptoms or illness|correlate pre-existing risk factors with test results and baseline symptoms|correlate subsequent healthcare utilization with test results and baseline symptoms,Texas Cardiac Arrhythmia Research Foundation,All,"Child, Adult, Older Adult"